Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
RINGLINK (SCOTLAND) LIMITED,KINNAIRD HYDRO GENERATOR,PERTH,PERTH AND KINROSS,PH16 5JA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MACKIES OF SCOTLAND,HILL OF EASTERTOWN WIND ADDCAP,INVERURIE,ABERDEENSHIRE,AB51 8US,SCOTLAND,ACCEPTED TO CONNECT,0.575,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,04/08/2023
BARRATT HOMES NORTH SCOTLAND,DATA NOT AVAILABLE,DUNDEE,DUNDEE CITY,DD4 7DD,SCOTLAND,ACCEPTED TO CONNECT,0.268,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,14/11/2022
SALES SCOTLAND ENERGETICS,AA SIGNED - RELEASED TO DELIVERY,NEWTONMORE,HIGHLAND,PH20 1EF,SCOTLAND,ACCEPTED TO CONNECT,0.016,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,24/07/2024
RINGLINK (SCOTLAND) LIMITED,GENERATING STATION,BLAIRGOWRIE,PERTH AND KINROSS,PH10 6TA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.35625,0.35625,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
RINGLINK (SCOTLAND) LIMITED,STROCHERIE WIND,BANFF,PERTH AND KINROSS,AB45 3PL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SALES SCOTLAND ENERGETICS,MAJOR CONNECTIONS - ISSUED -DG - HOUSING AREA H,INVERNESS,HIGHLAND,IV2 6BY,SCOTLAND,ACCEPTED TO CONNECT,0.222,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,08/05/2025
RINGLINK (SCOTLAND) LIMITED,UPPER DYSART,MONTROSE,PERTH AND KINROSS,DD10 9TQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.20045,0.20045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SALES SCOTLAND ENERGETICS,587KVA DEMAND / 20KW GEN IDNO,BUCKIE,MORAY,AB56 1FT,SCOTLAND,ACCEPTED TO CONNECT,0.02,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,16/04/2025
RINGLINK (SCOTLAND) LIMITED,HATTON MILL FARM,ARBROATH,PERTH AND KINROSS,DD11 4UL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
